ID	DOCULECT	CONCEPT	GERMAN	CONCEPTICON	CONCEPTICON_GLOSS	IDS	VALUE	FORM	TOKENS	ORIGIN	SOURCE	SOURCE_FORM	MORPHEMES	COGIDS	NOTE	ROOTIDS
1073	German	carry-on-head	auf dem Kopf tragen	414	CARRY ON HEAD	10-614	auf dem Kopf tragen	auf dem kopf tragen	au f + d eː m + k ɔ pf + t r aː g + ə n				_-on:prefix/auf _-the:article/dem head carry _-:inf	143 135 20 21 2		0
1074	German	carry-on-head	auf dem Kopf tragen	414	CARRY ON HEAD	10-614	tragen	tragen	t r aː g + ə n	Stammwort			carry _-:inf	21 2		0
1075	German	carry-underarm	unter dem Arm tragen	415	CARRY UNDER ARM	10-615	unter dem Arm tragen	unter dem arm tragen	ʊ n t ə r + d eː m + a r m + t r aː g + ə n				under _-the:article/dem arm carry _-:inf	0 135 227 21 2		0
1076	German	carry-underarm	unter dem Arm tragen	415	CARRY UNDER ARM	10-615	tragen	tragen	t r aː g + ə n	Stammwort			carry _-:inf	21 2		0
1077	German	bring	bringen	692	BRING	10-620	bringen	bringen	b r ɪ ŋ + ə n	Stammwort			bring _-:inf	751 2		0
1078	German	bring	holen	692	BRING	10-620	holen	holen	h oː l + ə n	Stammwort			fetch _-:inf	181 2		0
1079	German	send	schicken	1127	SEND	10-630	schicken	schicken	ʃ ɪ k + ə n	Stammwort			send _-:inf	265 2		0
1080	German	send	senden	1127	SEND	10-630	senden	senden	z ɛ n d + ə n	Stammwort			send _-:inf	266 2		0
1081	German	lead (vb)	führen	43	LEAD (GUIDE)	10-640	führen	führen	f yː r + ə n	Stammwort			lead:V _-:inf	87 2		0
1082	German	lead (vb)	führen	43	LEAD (GUIDE)	10-640	leiten	leiten	l ai t + ə n	Stammwort			lead:V _-:inf	0 2		0
1083	German	drive	fahren	741	!DRIVE	10-650	treiben	treiben	t r ai b + ə n	Stammwort			drive/treiben _-:inf	747 2		0
1084	German	drive	fahren	741	DRIVE	10-650	fahren	fahren	f aː r + ə n	Stammwort			drive _-:inf	32 2		0
1085	German	ride	reiten	367	RIDE	10-660	reiten	reiten	r ai t + ə n	Stammwort			put-in-order _-:inf	889 2		0
1086	German	ride	reiten		!DRIVE	10-660	fahren	fahren	f aː r + ə n	Stammwort			drive _-:inf	32 2		0
1087	German	push, shove	stoßen	1452	PUSH	10-670	stoßen	stoßen	ʃ t oː s + ə n	Stammwort			push _-:inf	136 2		0
1088	German	push, shove	stoßen	1452	PUSH	10-670	schieben	schieben	ʃ iː b + ə n	Stammwort			push-gently _-:inf	1025 2		0
1089	German	road	die Straße	667	ROAD	10-710	Weg	weg	v eː k/g	Stammwort			way	1189		0
1090	German	road	die Straße	667	ROAD	10-710	Straße	straße	ʃ t r aː s + ə	Entlehnung			!street _-:suffix.f.s/e	1052 91		0
1091	German	path	der Pfad	2252	PATH	10-720	der Pfad	pfad	pf aː t/d	Nicht etymologisierbar			path	1215		0
1092	German	path	der Pfad	2252	PATH	10-720	der Steig	steig	ʃ t ai k/g	Stammwort			climb	1011	rare	0
1093	German	bridge	die Brücke	1011	BRIDGE	10-740	die Brücke	brücke	b r y k + ə	Stammwort			bridge _-:suffix.f.s/e	876 91		0
1094	German	carriage, wagon, cart	der Wagen	122	CART	10-750	der Wagen	wagen	v aː g + ə n	Stammwort			wagon _-:suffix.m.s/en	311 922		0
1095	German	carriage, wagon, cart	der Wagen	122	CART	10-750	Karren	karren	k a r + ə n	Entlehnung			cart _-:suffix.m.s/en	1127 922		0
1096	German	wheel	das Rad	710	WHEEL	10-760	das Rad	rad	r aː t/d	Stammwort			wheel	665		0
1097	German	axle	die Axe	1769	AXLE	10-770	die Achse	achse	a k s + ə	Stammwort			axle _-:suffix.f.s/e	1224 91		0
1098	German	yoke	das Joch	14	YOKE	10-780	Joch	joch	j ɔ x	Stammwort			yoke	718		0
1099	German	ship	das Schiff	740	SHIP	10-810	das Schiff	schiff	ʃ ɪ f	Stammwort			ship	220		0
1100	German	boat	das Boot	1844	BOAT	10-830	das Boot	boot	b oː t	Stammwort			boat	867		0
1101	German	boat	das Boot	1844	BOAT	10-830	der Kahn	kahn	k aː n	Stammwort			boat	1131		0
1102	German	boat	das Boot	1844	BOAT	10-830	der Nachen	nachen	n aː x + ə n	Stammwort			boat _-:suffix.m.s/en	547 922		0
1103	German	canoe	das Kanu	1970	CANOE	10-831	das Kanu	kanu	k aː n uː	Entlehnung	ne	canoe	canoe	1130		0
1104	German	outrigger	der Ausleger	416	OUTRIGGER	10-832	der Ausleger	ausleger	au s + l eː g + ə r				_-out:prefix/aus lie _-:suffix/er	148 141 100		0
1105	German	raft	das Floß	1664	RAFT	10-840	das Floß	floß	f l oː s	Stammwort			raft	993		0
1106	German	oar	das Ruder	3137	OAR	10-850	das Ruder	ruder	r uː d ə r	Stammwort			rudder	206		0
1107	German	paddle (noun)	das Paddel	234	PADDLE	10-851	das Paddel	paddel	p a d ə l	Entlehnung	ne	paddle	?	0		0
1108	German	row (vb)	rudern	1849	ROW	10-852	rudern	rudern	r uː d ə r + Ø/ə n				rudder _-:inf	206 2		0
1109	German	rudder	das Ruder			10-860	das Steuerruder	steuerruder	ʃ t ɔi r ə Ø/r + r uː d ə r				steer rudder	210 206	specific	0
1110	German	rudder	das Ruder	108	RUDDER	10-860	das Ruder	ruder	r uː d ə r	Stammwort			rudder	206		0
1111	German	mast	der mast	184	MAST	10-870	der Mast	mast	m a s t				mast	0		0
1112	German	sail (noun)	das Segel	786	SAILCLOTH	10-880	das Segel	segel	z eː g ə l	Stammwort			sail	218		0
1113	German	anchor	der Anker	1870	ANCHOR	10-890	der Anker	anker	a ŋ k ə r				*anchor	797		0
1114	German	harbor, port	der Hafen	610	PORT	10-910	der hafen	hafen	h aː f ə n				harbor 	1082		0
1115	German	land (vb)	landen	1922	LAND (DESCEND)	10-920	landen	landen	l a n d + ə n	Stammwort			land _-:inf	0 2		0
1116	German	have	haben	773	HAVE	11-110	haben	haben	h aː b + ə n	Stammwort			have _-:inf	66 2		0
1117	German	own, possess	besitzen	684	OWN	11-120	besitzen	besitzen	b ə + z ɪ ts + ə n	Stammwort			_-:prefix/be sit _-:inf	140 197 2		0
1118	German	take	nehmen	1749	TAKE	11-130	nehmen	nehmen	n eː m + ə n	Stammwort			take _-:inf	495 2		0
1119	German	seize, grasp	fassen	855	SEIZE	11-140	ergreifen	ergreifen	ɛ r + g r ai f + ə n				_-:prefix/er grasp/greif _-:inf	147 263 2		0
1120	German	seize, grasp	fassen	855	SEIZE	11-140	fassen	fassen	f a s + ə n	Stammwort			grasp/fass _-:inf	262 2		0
1121	German	seize, grasp	fassen	855	SEIZE	11-140	greifen	greifen	g r ai f + ə n	Stammwort			grasp/greif _-:inf	263 2		0
1122	German	hold	halten	1448	HOLD	11-150	halten	halten	h a l t + ə n	Stammwort			hold _-:inf	546 2		0
1123	German	get, obtain	bekommen	694	GET	11-160	kriegen	kriegen	k r iː g + ə n	Stammwort			obtain _-:inf	0 2		0
1124	German	get, obtain	bekommen	694	GET	11-160	bekommen	bekommen	b ə + k ɔ m + ə n	Stammwort			_-:prefix/be come _-:inf	140 65 2		0
1125	German	keep, retain	behalten	1477	KEEP	11-170	behalten	behalten	b ə + h a l t + ə n				_-:prefix/be hold _-:inf	140 546 2		0
1126	German	thing	die Sache	738	THING	11-180	die Sache	sache	z a x + ə	Stammwort			thing/Sache _-:suffix.f.s/e	234 91		0
1127	German	thing	die Sache	738	THING	11-180	das Ding	ding	d ɪ ŋ	Stammwort			thing/Ding	514		0
1128	German	give	geben	1447	GIVE	11-210	geben	geben	g eː b + ə n	Stammwort			give _-:inf	453 2		0
1129	German	give back	zurückgeben	85	GIVE BACK	11-220	zurückgeben	zurückgeben	ts uː + r y k + g eː b + ə n				_-:prefix/zu back give _-:inf	52 735 453 2		0
1130	German	preserve, look after	bewahren	1997	PRESERVE	11-240		bewahren	b ə + v aː r + ə n				_-:prefix/be true _-:inf	140 588 2		0
1131	German	save, rescue	retten	2008	RESCUE	11-250	retten	retten	r ɛ t + ə n	Stammwort			save _-:inf	244 2		0
1132	German	destroy	zerstören	681	DESTROY	11-270	zerstören	zerstören	ts ɛ r + ʃ t øː r + ə n				_:prefix/zer disturb _-:inf	738 1050 2		0
1133	German	destroy	zerstören	681	DESTROY	11-270	vernichten	vernichten	f ɛ r + n ɪ ç t + ə n				_-:prefix/ver not _-:inf	138 728 2		0
1134	German	harm, injure, damage	beschädigen	3195	DAMAGE OR INJURE	11-280	beschädigen	beschädigen	b ə + ʃ ɛː/aː d + ɪ g + ə n				_-:prefix/be harm _-:suffix/ig _-:inf	140 1020 156 2		0
1135	German	harm, injure, damage	der Schaden	3195	!DAMAGE OR INJURE	11-280	der Schaden	schaden	ʃ aː d + ə n	Stammwort			harm _-:inf	1020 2		0
1136	German	seek, look for	suchen	1468	LOOK FOR	11-310	suchen	suchen	z uː x + ə n	Stammwort			search _-:inf	260 2		0
1137	German	find	finden	719	FIND	11-320	finden	finden	f ɪ n d + ə n	Stammwort			find:V _-:inf	982 2		0
1138	German	lose	verlieren	3072	MISPLACE	11-330	verlieren	verlieren	f ɛ r + l iː r + ə n	Stammwort			_-:prefix/ver ? _-:inf	138 0 2		0
1139	German	release, let go	entlassen	1095	LET GO OR SET FREE	11-340	entlassen	entlassen	ɛ n t + l a s + ə n				/ent let _-:inf	0 408 2		0
1140	German	release, let go	entlassen	1095	LET GO OR SET FREE	11-340	loslassen	loslassen	l oː s + l a s + ə n				loose let _-:inf	0 408 2		0
1141	German	money	das Geld	1559	MONEY	11-430	Geld	geld	g ɛ l t/d	Stammwort			money	165		0
1142	German	coin	die Münze	1867	COIN	11-440	Münze	münze	ˈ m y n . ts + ə	onomastische Bildung			coin _-:suffix.f.s/e	0 91		0
1143	German	rich	reich	712	RICH	11-510	reich	reich	r ai ç	Hybridbildung			rich	893		0
1144	German	poor	arm	1674	POOR	11-520	arm	arm	a r m	Stammwort			poor	49		0
1145	German	poor	arm	1674	POOR	11-520	bedürftig	bedürftig	b ə + d y r f + t + ɪ ç/g				_-:prefix/be allow _-:pt.pf/t _-:suffix/ig	140 307 736 156		0
1146	German	beggar	der Bettler	1934	BEGGAR	11-530	der Bettler	bettler	b ɛ t Ø/ə l + ə r				beg-for-money _-:suffix/er	852 100		0
1147	German	avaricious, stingy	geizig	1774	STINGY	11-540	habsüchtig	habsüchtig	h aː p/b + z y/ʊ ç/x t + ɪ ç				have addiction _-:suffix/ig	66 1065 1066		0
1148	German	avaricious, stingy	geizig	1774	STINGY	11-540	geizig	geizig	g ai ts + ɪ ç/g				avarice _-:suffix/ig	1062 1074		0
1149	German	avaricious, stingy	geizig	1774	STINGY	11-540	karg	karg	k a r k/g	Stammwort			poor	1075		0
1150	German	lend	leihen (jemandem etwas)	582	LEND	11-610	leihen	leihen	l ai + ə n	Stammwort			lend _-:inf	0 2		0
1151	German	lend	leihen (jemandem etwas)	582	LEND	11-610	borgen	borgen	b ɔ r g + ə n	Stammwort			borrow _-:inf	614 2		0
1152	German	borrow	sich etwas ausleihen	1823	BORROW	11-620	borgen	borgen	b ɔ r g + ə n	Stammwort			borrow _-:inf	614 2		0
1153	German	borrow	sich etwas ausleihen	1823	BORROW	11-620	leihen	leihen	l ai + ə n	Stammwort			loan _-:inf	0 2		0
1154	German	borrow	sich etwas ausleihen	1823	BORROW	11-620	entlehnen	entlehnen	ɛ n t/Ø + l eː n + ə n	Stammwort			_-:prefix/ent borrow _-:inf	84 89 2		0
1155	German	owe	schulden	369	OWE	11-630	schuldig sein	schuldig sein	ʃ ʊ l d + ɪ ç/g + z ai n				debt _-:suffix/ig be	177 156 225	old	0
1156	German	owe	schulden	369	OWE	11-630	schulden	schulden	ʃ ʊ l d + ə n				debt _-:inf	177 2		0
1157	German	debt	die Schuld	1914	DEBT	11-640	die Schuld	schuld	ʃ ʊ l t/d	Stammwort			debt	177		0
1158	German	pay (vb)	bezahlen	718	PAY	11-650	bezahlen	bezahlen	b ə + ts aː l + ə n				_-:prefix/be number _-:inf	140 180 2		0
1159	German	pay (vb)	bezahlen	718	PAY	11-650	zahlen	zahlen	ts aː l + ə n	Stammwort			number _-:inf	180 2		0
1160	German	account, reckoning	die Rechnung	1081	BILL	11-660	Rechnung	rechnung	r ɛ ç Ø/ə n + ʊ ŋ				calculate _-:suffix/ung	297 58		0
1161	German	tax, tribute	die Steuern	873	TAX	11-690	die Steuern	steuern	ʃ t ɔi ə r + Ø/ə n				steer _-:suffix.f.pl/en	210 17		0
1162	German	hire	mieten		RENT	11-770	mieten	mieten	m iː t + ə n				? _-:inf	0 2		0
1163	German	hire	anstellen		HIRE	11-770	dingen	dingen	d ɪ ŋ + ə n 	Stammwort			thing/Ding _-:inf	514 2	old	0
1164	German	hire	anstellen		HIRE	11-770	anstellen	anstellen	a n + ʃ t ɛ l + ə n				_-on:prefix/an put/stellen _-:inf	142 98 2		0
1165	German	wages	die Bezahlung	1122	WAGES	11-780	der Lohn	lohn	l oː n	Stammwort			wages	623		0
1166	German	wages	der Sold			11-780	der Sold	sold	z ɔ l t/d	Entlehnung	afrz	solde	!soldier	378	specific	0
1167	German	wages	die Bezahlung	1122	WAGES	11-780	die Bezahlung	bezahlung	b ə + ts aː l + ʊ ŋ				_-:prefix/be number _-:suffix/ung	140 180 58		0
1168	German	earn	verdienen	733	EARN	11-790	verdienen	verdienen	f ɛ r + d iː n + ə n				_-:prefix/ver serve _-:inf	138 268 2		0
1169	German	buy	kaufen	1869	BUY	11-810	kaufen	kaufen	k au f + ə n	Entlehnung			buy _-:inf	0 2		0
1170	German	sell	verkaufen	1571	SELL	11-820	verkaufen	verkaufen	f ɛ r + k au f + ə n	S			_-:prefix/ver buy _-:inf	138 264 2		0
1171	German	trade, barter	handeln	2135	TRADE OR BARTER	11-830	handeln	handeln	h a n d + ə l + Ø/ə n	Stammwort			hand _-:dim/el _-:inf	577 796 2		0
1172	German	merchant	der Händler	1082	MERCHANT	11-840		kaufmann	k au f + m a n				buy man	0 163		0
1173	German	merchant	der Händler	1082	MERCHANT	11-840		händler	h ɛ/a n d + Ø/ə l + ə r				hand ? _-:suffix/er	0 0 100		0
1174	German	market (place)	der Markt	633	MARKET	11-850	der Markt	markt	m a r k t	Entlehnung			?	0		0
1175	German	store, shop	das Geschäft	752	STORE	11-860	der Laden	laden	l aː d + ə n	Stammwort			load _-:suffix.m.s/en	450 922		0
1176	German	store, shop	das Geschäft	752	STORE	11-860	das Geschäft	geschäft	g ə + ʃ ɛ/a f + t	Stammwort			_-:prefix/ge work _-:pt.pf/t	139 452 736		0
1177	German	price	der Preis	657	PRICE	11-870	Preis	preis	p r ai s	Entlehnung			praise/preis	189		0
1178	German	dear (costly, expensive)	teuer	1426	EXPENSIVE	11-880	teuer	teuer	t ɔi ə r	Stammwort			expensive	763		0
1179	German	cheap	billig	1887	CHEAP	11-890	billig	billig	b ɪ l + ɪ ç/g	Stammwort			cheap _-:suffix/ig	330 156		0
1180	German	cheap	billig	1887	CHEAP	11-890	wohlfeil	wohlfeil	v oː l + f ai l				well cheap	1192 792	old	0
1181	German	share (distribute)	teilen	884	SHARE	11-910	teilen	teilen	t ai l + ə n				part/Teil _-:inf	302 2		0
1182	German	weigh	wiegen	1098	WEIGH	11-920	wiegen	wiegen	v iː g + ə n	Stammwort			weigh _-:inf	663 2		0
1183	German	after	nach	1685	AFTER	12-10	nach	nach	n aː x	Stammwort			after	527		0
1184	German	place	hinter		!BEHIND	12-110	hinter	hinter	h ɪ n t ə r	Stammwort			behind	34		0
1194	German	place	der Ort	723	PLACE (POSITION)	12-110	die Stelle	Stelle	ʃ t ɛ l + ə				put/stellen _-:suffix.f.s/e	98 91		0
1195	German	place	der Ort	723	PLACE (POSITION)	12-110	der Ort	ort	ɔ r t	Stammwort			?	0		0
1196	German	place	der Ort	723	PLACE (POSITION)	12-110	der Platz	platz	p l a ts				?	0		0
1185	German	beside	neben	1816	BESIDE	12-20	neben	neben	n eː b + ə n	Stammwort			next-to _-:suffix/en	440 88		0
1186	German	down, below	unter	2094	DOWN OR BELOW	12-30	unter	unter	ʊ n t ə r	Stammwort			under	10		0
1187	German	before	vor	1882	BEFORE	12-40	vor	vor	f oː r	Stammwort			before	402		0
1188	German	right (side)	rechts	1019	RIGHT	12-410	rechts	rechts	r ɛ ç t + s	Stammwort			right _-:suffix/s	44 59		0
1243	German	right (side)	rechts	1019	RIGHT	12-410	rechte	recht	r ɛ ç t + ə r	Stammwort			right _-:n.m/er	44 300		0
1189	German	inside, in	in	1606	INSIDE	12-50	in	in	ɪ n	Stammwort			in	0		0
1190	German	outside	außerhalb	762	OUTSIDE	12-60	außen	aus	au s + ə n	Stammwort			_-out:prefix/aus _-:suffix/en	148 88		0
1191	German	outside	außerhalb	762	OUTSIDE	12-60	außerhalb	außerhalb	au s + ə r + h a l p/b				_-out:prefix/aus _-:suffix/er half	148 100 141		0
1192	German	under	unter	1485	BELOW OR UNDER	12-70	unter	unter	ʊ n t ə r	Stammwort			under	10		0
1193	German	up, above	hinauf	1591	UP	12-80	hinauf	hinauf	h ɪ n + au f	Stammwort			up_to/hin _-on:prefix/auf	116 143		0
1197	German	put	setzen		!SIT	12-120	setzen	setzen	z ɛ/ɪ ts + ə n	Stammwort			sit _-:inf	197 2		0
1198	German	put	stellen	998	!PUT	12-120	stellen	stellen	ʃ t ɛ l + ə n	Stammwort			put/stellen _-:inf	98 2		0
1199	German	put	legen		!LAY	12-120	legen	legen	l eː g + ə n	Stammwort			lay _-:inf	0 2		0
1200	German	sit	sitzen	1416	SIT	12-130	sitzen	sitzen	z ɪ ts + ə n	Stammwort			sit _-:inf	197 2		0
1201	German	lie down	liegen	215	LIE DOWN	12-140	liegen	liegen	l iː g + ə n	Stammwort			lie_down _-:inf	0 2		0
1202	German	stand	stehen	1442	STAND	12-150	stehen	stehen	ʃ t eː + ə n	Stammwort			stand _-:inf	435 2		0
1203	German	remain, stay	bleiben	987	REMAIN	12-160	bleiben	bleiben	b l ai b + ə n	Stammwort			remain _-:inf	194 2		0
1204	German	remain, stay	bleiben	987	REMAIN	12-160	warten	warten	v a r t + ə n	Stammwort			wait _-:inf	1193 2	different sense	0
1205	German	remains, left overs	der Rest	838	REMAINS	12-170	die Überbleibsel	überbleibsel	yː b ə r + b l ai p/b + s +  + ə l				over remain _-:infix/s ? ?	0 194 333 0 0		0
1206	German	remains, left overs	der Rest	838	REMAINS	12-170	der Rest	rest	r ɛ s t	Entlehnung	frz	reste	*rest	195		0
1207	German	collect, gather	sammeln	7	GATHER	12-210	sammeln	sammeln	z a m ə l + Ø/ə n	Stammwort			collect _-:inf	230 2		0
1208	German	pick up	aufheben	371	PICK UP	12-212	aufheben	aufheben	au f + h eː b + ə n				_-on:prefix/auf raise _-:inf	143 113 2		0
1209	German	pick up	aufheben	371	PICK UP	12-212	abholen	abholen	a p/b + h oː l + ə n				_-off:prefix/ab fetch _-:inf	110 181 2	different sense	0
1210	German	pile up	auftürmen	1576	PILE UP	12-213	aufhäufen	aufhäufen	au f + h ɔi/au f + ə n				_-on:prefix/auf heap _-:inf	143 316 2		0
1211	German	pile up	auftürmen	1576	PILE UP	12-213	auftürmen	auftürmen	au f + t y/u r m + ə n				_-on:prefix/auf tower _-:inf	143 182 2		0
1212	German	join, unite	verbinden	1743	JOIN	12-220	verbinden	verbinden	f ɛ r + b ɪ n d + ə n				_-:prefix/ver bind _-:inf	138 572 2		0
1213	German	join, unite	verbinden	1743	JOIN	12-220	fügen	fügen	f yː g + ə n	Stammwort			join _-:inf	1009 2		0
1214	German	join, unite	verbinden	1743	JOIN	12-220	vereinigen	vereinigen	f ɛ r + ai n + ɪ g + ə n				_-:prefix/ver one _-:suffix/ig _-:inf	138 153 156 2		0
1215	German	separate	scheiden	1359	SEPARATE	12-230	scheiden	scheiden	ʃ ai d + ə n	Stammwort			separate _-:inf	249 2		0
1216	German	separate	trennen	1359	SEPARATE	12-230	trennen	trennen	t r ɛ n + ə n	Stammwort			separate/trennen _-:inf	267 2		0
1217	German	divide	teilen	1119	DIVIDE	12-232	teilen	teilen	t ai l + ə n				part/Teil _-:inf	302 2		0
1218	German	divide	teilen	1119	DIVIDE	12-232	trennen	trennen	t r ɛ n + ə n	Stammwort			separate/trennen _-:inf	267 2		0
1219	German	open	öffnen	1156	OPEN	12-240	öffnen	öffnen	œ f n + ə n				open _-:inf	0 2		0
1220	German	open	öffnen	1156	OPEN	12-240	aufmachen	aufmachen	au f + m a x + ə n				_-on:prefix/auf make _-:inf	143 0 2		0
1221	German	shut, close	schließen	1046	SHUT	12-250	schließen	schließen	ʃ l iː s + ə n	Stammwort			shut _-:inf	293 2		0
1222	German	shut, close	schließen	1046	SHUT	12-250	zumachen	zumachen	ts uː + m a x + ə n				_-:prefix/zu make _-:inf	52 0 2		0
1223	German	cover	bedecken	761	COVER	12-260	bedecken	bedecken	b ə + d ɛ k + ə n	Stammwort			_-:prefix/be cover _-:inf	140 2 2		0
1224	German	hide, conceal	verbergen	602	HIDE (CONCEAL)	12-270	verbergen	verbergen	f ɛ r + b ɛ r g + ə n				_-:prefix/ver hide _-:inf	138 850 2		0
1225	German	hide, conceal	verbergen	602	HIDE (CONCEAL)	12-270	verstecken	verstecken	f ɛ r + ʃ t ɛ k + ə n				_-:prefix/ver stick _-:inf	138 428 2		0
1226	German	hide, conceal	verbergen	602	HIDE (CONCEAL)	12-270	verhehlen	verhehlen	f ɛ r + h eː l + ə n				_-:prefix/ver hide _-:inf	138 1087 2	old	0
1227	German	high	hoch	1265	HIGH	12-310	hoch	hoch	h oː x	Stammwort			high	320		0
1228	German	low	niedrig	721	LOW	12-320	niedrig	niedrig	n iː d Ø/ə r + ɪ ç/g				low _-:suffix/ig	317 156		0
1229	German	top	der Gipfel	1614	SUMMIT	12-330	die Spitze	spitze	ʃ p ɪ ts + ə				pointed _-:suffix.f.s/e	1016 91		0
1230	German	top	der Gipfel	1614	SUMMIT	12-330	der Gipfel	gipfel	g ɪ pf ə l	Stammwort			summit	1165		0
1231	German	top	der obere Teil	1753	TOP	12-330	der obere Teil	obere teil	ɔː b ə r + ə + t ai l				upper _-:suffix.m.s/e part/Teil	573 1241 302		0
1232	German	bottom	der Boden	690	BOTTOM	12-340	der Boden	boden	b oː d + ə n	Stammwort			ground _-:suffix.m.s/en	26 922		0
1233	German	end	das Ende (im Raum)	742	END (OF SPACE)	12-350	das Ende	ende	ɛ n d + ə	Stammwort			? _-:suffix.n.s/e	0 1244		0
1234	German	pointed	spitz	372	POINTED	12-352	spitz	spitz	ʃ p ɪ ts				pointed	1016		0
1235	German	edge	die Schneide	863	EDGE	12-353	die Schneide	schneide	ʃ n ai d + ə				cut _-:suffix.f.s/e	494 91		0
1236	German	edge	die Schärfe	863	EDGE	12-353	die Schärfe	schärfe	ʃ ɛ/a r f + ə				sharp _-:suffix.f.s/e	279 91		0
1237	German	edge	die Kante	863	EDGE	12-353	die Kante	kante	k a n t + ə	Entlehnung	ndd	kant(e)	edge _-:suffix.f.s/e	1126 91		0
1238	German	edge	der Rand	863	EDGE	12-353	der Rand	rand	r a n t/d	Stammwort			edge	398		0
1239	German	side	die Seite	682	SIDE	12-360	die Seite	seite	z ai t + ə	Stammwort			side _-:suffix.f.s/e	238 91		0
1240	German	middle, center	mittlerer		!MIDDLE	12-370	mittlerer	mittlerer	m ɪ t Ø/ə l + ə r + ə r				middle _-:suffix/er _-:n.m/er	0 100 300		0
1241	German	middle, center	die Mitte		!CENTER	12-370	die Mitte	mitte	m ɪ t + ə 	Stammwort			middle _-:suffix/e	528 91		0
1242	German	middle, center	die Mitte		CENTER	12-370	das Zentrum	zentrum	ts ɛ n t r ʊ m	Entlehnung			center	0		0
1244	German	left (side)	links	244	LEFT	12-420	links	links	l ɪ ŋ k + s	Stammwort			left _-:suffix/s	0 59		0
1245	German	near (adv)	nahe	1942	NEAR	12-430	nahe	nahe	n aː + ə				near _-:suffix.f.s/e	168 91		0
1246	German	near (adv)	nahe	1942	NEAR	12-430	nah	nah	n aː				near	168		0
1247	German	far (adv)	weit (weit entfernt)	1406	FAR	12-440	fern	fern	f ɛ r n	Stammwort			far	974		0
1248	German	far (adv)	weit (weit entfernt)	1406	FAR	12-440	weit	weit	v ai t	Stammwort			far	1197		0
1249	German	east	der Osten	1877	EAST	12-450	Osten	osten	ɔ s t + ə n	Stammwort			east _-:suffix.m.s/en	0 922		0
1250	German	west	der Westen	1817	WEST	12-460	der Westen	westen	v ɛ s t + ə n	Stammwort			west _-:suffix.m.s/en	1210 922		0
1251	German	north	der Norden	1598	NORTH	12-470	der Norden	norden	n ɔ r d + ə n				? _-:inf	0 2		0
1252	German	south	der Süden	1595	SOUTH	12-480	der Süden	süden	z yː d + ə n	Stammwort			south _-:suffix.m.s/en	394 922		0
1253	German	grow	wachsen	479	GROW	12-530	wachsen	wachsen	v a k s + ə n	Stammwort			grow _-:inf	386 2		0
1254	German	measure	messen	1506	MEASURE	12-540	messen	messen	m ɛ s + ə n	Stammwort			measure _-:inf	0 2		0
1255	German	span, fathom	das Lot	81	FATHOM	12-541	das Lot	lot	l oː t				fathom	54 0 2		0
1256	German	span, fathom	umspannen			12-541	umspannen	umspannen	ʊ m + ʃ p a n + ə n				_-:prefix/um stretch _-:inf	55 397 2		0
1257	German	span, fathom	abmessen			12-541	abmessen	abmessen	a p/b + m ɛ s + ə n				_-off:prefix/ab measure _-:inf	110 396 2		0
1258	German	large, big	groß	1202	BIG	12-550	groß	groß	g r oː s	Stammwort			big	6		0
1259	German	small, little	klein	1246	SMALL	12-560	klein	klein	k l ai n	Stammwort			small	365		0
1260	German	long	lang (räumlich)	1203	LONG	12-570	lang	lang	l a ŋ				long	158		0
1261	German	tall	groß (von Statur)	711	TALL	12-580	groß	groß	g r oː s	Stammwort			big	6		0
1262	German	short	kurz	1645	SHORT	12-590	kurz	kurz	k ʊ r ts	Entlehnung	l	curtus	short	286		0
1263	German	wide, broad	breit	1243	WIDE	12-610	breit	breit	b r ai t	Stammwort			broad	423		0
1264	German	narrow	eng	1267	NARROW	12-620	schmal	schmal	ʃ m aː l	Stammwort			narrow	1032		0
1265	German	narrow	eng	1267	NARROW	12-620	eng	eng	ɛ ŋ	Stammwort			?	0		0
1266	German	thick (in dimension)	dick (in der Dimension)	1244	THICK	12-630	dick	dick	d ɪ k	Stammwort			thick	513		0
1267	German	thin (in dimension)	dünn (in der Dimension)	2249	THIN (OF SHAPE OF OBJECT)	12-650	dünn	dünn	d y n	Stammwort			thin	515		0
1268	German	deep	tief	1593	DEEP	12-670	tief	tief	t iː f	Stammwort			deep	75		0
1269	German	shallow	seicht	193	SHALLOW	12-680	seicht	seicht	z ai ç t	Stammwort			shallow	236		0
1270	German	shallow	seicht	193	SHALLOW	12-680	nicht tief	nicht tief	n ɪ ç t + t iː f	S+S			not deep	728 75		0
1271	German	shallow	seicht	193	SHALLOW	12-680	flach	flach	f l a x	Stammwort			flat	276		0
1272	German	flat	flach	1633	FLAT	12-710	flach	flach	f l a x	Stammwort			flat	276		0
1273	German	flat	flach	1633	FLAT	12-710	platt	platt	p l a t	Entlehnung	frz	plat	flat	0		0
1274	German	straight	gerade	1404	STRAIGHT	12-730	gerade	gerade	g ə + r aː d + ə				_-:prefix/ge straight _-:suffix.adv/e	139 451 1248		0
1275	German	crooked	krumm	297	CROOKED	12-740	krumm	krumm	k r ʊ m	Stammwort			crooked	525		0
1276	German	hook	der Haken	1071	HOOK	12-750	der Haken	haken	h aː k + ə n	Stammwort			hook _-:suffix.m.s/en	357 922		0
1277	German	corner	die Ecke	192	CORNER	12-760	die Ecke	ecke	ɛ k + ə	Stammwort			? _-:suffix.f.s/e	0 91		0
