# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	OCOGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID	ALIGNMENT
274	German	hear (V)	39	høːrən	h øː r ə n	62	3 7 5 7 4	AXBYN	HUREN	4	4.H.C 4.U.V 4.R.C 4.E.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	167	h øː r ə n
275	English	hear (V)	39	hɪər	h ɪə r	62	3 7 5	AXN	HIR	3	3.H.C 3.I.V 3.R.c	2.0 1.5 0.8	0	167	h ɪə r - -
276	Danish	hear (V)	39	høːʌ	h øːʌ	62	3 7	AX	HU	1	1.H.C 1.U.V	2.0 1.5	0	166	h øːʌ
277	Swedish	hear (V)	39	høːra	h øː r a	62	3 7 5 7	AXBZ	HURA	7	7.H.C 7.U.V 7.R.C 7.A.V	2.0 1.5 1.75 0.8	0	167	h øː r a -
278	Icelandic	hear (V)	39	heiːra	h eiː r a	62	3 7 5 7	AXBZ	HERA	5	5.H.C 5.E.V 5.R.C 5.A.V	2.0 1.5 1.75 0.8	0	167	h eiː r a -
279	Dutch	hear (V)	39	hoːrə	h oː r ə	62	3 7 5 7	AXBZ	HURE	2	2.H.C 2.U.V 2.R.C 2.E.V	2.0 1.5 1.75 0.8	0	167	h oː r ə -
280	Norwegian	hear (V)	39	høːɾə	h øː ɾ ə	62	3 7 5 7	AXBZ	HURE	6	6.H.C 6.U.V 6.R.C 6.E.V	2.0 1.5 1.75 0.8	0	167	h øː ɾ ə -
#
281	German	heart	40	hɛrt͡s	h ɛ r t͡s	63	3 7 5 2	AXLN	HERC	4	4.H.C 4.E.V 4.R.c 4.C.c	2.0 1.5 1.1 0.8	0	169	h ɛ r t͡s
282	English	heart	40	hɑːrt	h ɑː r t	63	3 7 5 1	AXLN	HART	3	3.H.C 3.A.V 3.R.c 3.T.c	2.0 1.5 1.1 0.8	0	169	h ɑː r t
283	Danish	heart	40	jæʁdə	j æ ʁ d ə	63	6 7 5 1 7	AXMBZ	JERTE	1	1.J.C 1.E.V 1.R.c 1.T.C 1.E.V	2.0 1.5 1.1 1.75 0.8	0	168	j æ ʁ d ə
284	Swedish	heart	40	jɛrta	j ɛ r t a	63	6 7 5 1 7	AXMBZ	JERTA	7	7.J.C 7.E.V 7.R.c 7.T.C 7.A.V	2.0 1.5 1.1 1.75 0.8	0	168	j ɛ r t a
285	Icelandic	heart	40	çar̥ta	ç a r̥ t a	63	0 7 5 1 7	AXMBZ	0ARTA	5	5.0.C 5.A.V 5.R.c 5.T.C 5.A.V	2.0 1.5 1.1 1.75 0.8	0	168	ç a r̥ t a
286	Dutch	heart	40	hɑrt	h ɑ r t	63	3 7 5 1	AXLN	HART	2	2.H.C 2.A.V 2.R.c 2.T.c	2.0 1.5 1.1 0.8	0	169	h ɑ r t
287	Norwegian	heart	40	jæʈə	j æ ʈ ə	-63	6 7 1 7	AXBZ	JETE	6	6.J.C 6.E.V 6.T.C 6.E.V	2.0 1.5 1.75 0.8	0	168	j æ - ʈ ə
#
741	German	heavy	102	ʃveːr	ʃ v eː r	164	3 3 7 5	ACYN	SBER	4	4.S.C 4.B.C 4.E.V 4.R.c	2.0 1.5 1.3 0.8	0	171	ʃ v eː r
742	English	heavy	102	hɛvɪ	h ɛ v ɪ	165	3 7 3 7	AXBZ	HEBI	3	3.H.C 3.E.V 3.B.C 3.I.V	2.0 1.5 1.75 0.8	0	172	h ɛ v ɪ
743	Danish	heavy	102	tɔŋˀ	t ɔ ŋˀ	166	1 7 4	AXN	TUN	1	1.T.C 1.U.V 1.N.c	2.0 1.5 0.8	0	170	t ɔ ŋˀ
744	Swedish	heavy	102	svoːr	s v oː r	164	3 3 7 5	ACYN	SBUR	7	7.S.C 7.B.C 7.U.V 7.R.c	2.0 1.5 1.3 0.8	0	171	s v oː r
745	Icelandic	heavy	102	θuŋkʏr	θ u ŋ k ʏ r	166	3 7 4 1 7 5	AXMBYN	DYNKYR	5	5.D.C 5.Y.V 5.N.c 5.K.C 5.Y.V 5.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	174	θ u ŋ k ʏ r
746	Dutch	heavy	102	zʋaːr	z ʋ aː r	164	3 6 7 5	ACXN	SWAR	2	2.S.C 2.W.C 2.A.V 2.R.c	2.0 1.5 1.5 0.8	0	171	z ʋ aː r
747	Norwegian	heavy	102	tuŋ	t u ŋ	166	1 7 4	AXN	TYN	6	6.T.C 6.Y.V 6.N.c	2.0 1.5 0.8	0	170	t u ŋ
748	Danish	heavy	102	svɛˀʁ	s v ɛˀ ʁ	164	3 3 7 5	ACYN	SBER	1	1.S.C 1.B.C 1.E.V 1.R.c	2.0 1.5 1.3 0.8	0	171	s v ɛˀ ʁ
749	Swedish	heavy	102	tuŋː	t u ŋː	166	1 7 4	AXN	TYN	7	7.T.C 7.Y.V 7.N.c	2.0 1.5 0.8	0	170	t u ŋː
#
288	German	horn	41	hɔrn	h ɔ r n	64	3 7 5 4	AXLN	HURN	4	4.H.C 4.U.V 4.R.c 4.N.c	2.0 1.5 1.1 0.8	0	175	h ɔ r n
289	English	horn	41	hɔːrn	h ɔː r n	64	3 7 5 4	AXLN	HURN	3	3.H.C 3.U.V 3.R.c 3.N.c	2.0 1.5 1.1 0.8	0	175	h ɔː r n
290	Danish	horn	41	hoʁˀn	h o ʁˀ n	64	3 7 5 4	AXLN	HURN	1	1.H.C 1.U.V 1.R.c 1.N.c	2.0 1.5 1.1 0.8	0	175	h o ʁˀ n
291	Swedish	horn	41	hoːrn	h oː r n	64	3 7 5 4	AXLN	HURN	7	7.H.C 7.U.V 7.R.c 7.N.c	2.0 1.5 1.1 0.8	0	175	h oː r n
292	Icelandic	horn	41	hɔrt͡n	h ɔ r t͡n	64	3 7 5 1	AXLN	HURT	5	5.H.C 5.U.V 5.R.c 5.T.c	2.0 1.5 1.1 0.8	0	179	h ɔ r t͡n
293	Dutch	horn	41	hoːrn	h oː r n	64	3 7 5 4	AXLN	HURN	2	2.H.C 2.U.V 2.R.c 2.N.c	2.0 1.5 1.1 0.8	0	175	h oː r n
294	Norwegian	horn	41	huːɳ	h uː ɳ	64	3 7 4	AXN	HYN	6	6.H.C 6.Y.V 6.N.c	2.0 1.5 0.8	0	175	h uː - ɳ
#
302	German	kill (V)	43	tøːtən	t øː t ə n	67	1 7 1 7 4	AXBYN	TUTEN	4	4.T.C 4.U.V 4.T.C 4.E.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	181	t øː t ə n
303	English	kill (V)	43	kɪl	k ɪ l	68	1 7 5	AXN	KIL	3	3.K.C 3.I.V 3.L.c	2.0 1.5 0.8	0	182	k ɪ l
304	Danish	kill (V)	43	dʁɛːbə	d ʁ ɛː b ə	66	1 5 7 1 7	ACXBZ	TREPE	1	1.T.C 1.R.C 1.E.V 1.P.C 1.E.V	2.0 1.5 1.5 1.75 0.8	0	180	d ʁ ɛː b ə
305	Swedish	kill (V)	43	døːda	d øː d a	67	1 7 1 7	AXBZ	TUTA	7	7.T.C 7.U.V 7.T.C 7.A.V	2.0 1.5 1.75 0.8	0	181	d øː d a -
306	Icelandic	kill (V)	43	trɛːpa	t r ɛː p a	66	1 5 7 1 7	ACXBZ	TREPA	5	5.T.C 5.R.C 5.E.V 5.P.C 5.A.V	2.0 1.5 1.5 1.75 0.8	0	180	t r ɛː p a
307	Dutch	kill (V)	43	doːdə	d oː d ə	67	1 7 1 7	AXBZ	TUTE	2	2.T.C 2.U.V 2.T.C 2.E.V	2.0 1.5 1.75 0.8	0	181	d oː d ə -
308	Norwegian	kill (V)	43	dɾeːpə	d ɾ eː p ə	66	1 5 7 1 7	ACXBZ	TREPE	6	6.T.C 6.R.C 6.E.V 6.P.C 6.E.V	2.0 1.5 1.5 1.75 0.8	0	180	d ɾ eː p ə
309	Swedish	kill (V)	43	drɛpa	d r ɛ p a	66	1 5 7 1 7	ACXBZ	TREPA	7	7.T.C 7.R.C 7.E.V 7.P.C 7.A.V	2.0 1.5 1.5 1.75 0.8	0	180	d r ɛ p a
#
310	German	knee	44	kniː	k n iː	69	1 4 7	ACX	KNI	4	4.K.C 4.N.C 4.I.V	2.0 1.5 1.5	0	183	k n iː
311	English	knee	44	niː	n iː	69	4 7	AX	NI	3	3.N.C 3.I.V	2.0 1.5	0	185	n iː
312	Danish	knee	44	knɛˀ	k n ɛˀ	69	1 4 7	ACX	KNE	1	1.K.C 1.N.C 1.E.V	2.0 1.5 1.5	0	183	k n ɛˀ
313	Swedish	knee	44	knɛː	k n ɛː	69	1 4 7	ACX	KNE	7	7.K.C 7.N.C 7.E.V	2.0 1.5 1.5	0	183	k n ɛː
314	Icelandic	knee	44	kʰniɛː	kʰ n iɛː	69	1 4 7	ACX	KNI	5	5.K.C 5.N.C 5.I.V	2.0 1.5 1.5	0	183	kʰ n iɛː
315	Dutch	knee	44	kniː	k n iː	69	1 4 7	ACX	KNI	2	2.K.C 2.N.C 2.I.V	2.0 1.5 1.5	0	183	k n iː
316	Norwegian	knee	44	kneː	k n eː	69	1 4 7	ACX	KNE	6	6.K.C 6.N.C 6.E.V	2.0 1.5 1.5	0	183	k n eː
#
317	German	know (V)	45	vɪsən	v ɪ s ə n	70	3 7 3 7 4	AXBYN	BISEN	4	4.B.C 4.I.V 4.S.C 4.E.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	189	v ɪ s ə n
318	English	know (V)	45	nəʊ	n əʊ	71	4 7	AX	NE	3	3.N.C 3.E.V	2.0 1.5	0	188	n əʊ
319	Danish	know (V)	45	viːðə	v iː ð ə	70	3 7 3 7	AXBZ	BIDE	1	1.B.C 1.I.V 1.D.C 1.E.V	2.0 1.5 1.75 0.8	0	186	v iː ð ə
320	Swedish	know (V)	45	ɕɛnna	ɕ ɛ nː a	71	3 7 4 7	AXBZ	SENA	7	7.S.C 7.E.V 7.N.C 7.A.V	2.0 1.5 1.75 0.8	0	192	ɕ ɛ nː a -
321	Icelandic	know (V)	45	vɪːta	v ɪː t a	70	3 7 1 7	AXBZ	BITA	5	5.B.C 5.I.V 5.T.C 5.A.V	2.0 1.5 1.75 0.8	0	186	v ɪː t a
322	Dutch	know (V)	45	ʋeːtə	ʋ eː t ə	70	6 7 1 7	AXBZ	WETE	2	2.W.C 2.E.V 2.T.C 2.E.V	2.0 1.5 1.75 0.8	0	186	ʋ eː t ə
323	Norwegian	know (V)	45	ʋiːtə	ʋ iː t ə	70	6 7 1 7	AXBZ	WITE	6	6.W.C 6.I.V 6.T.C 6.E.V	2.0 1.5 1.75 0.8	0	186	ʋ iː t ə
324	German	know (V)	45	kɛnən	k ɛ n ə n	71	1 7 4 7 4	AXBYN	KENEN	4	4.K.C 4.E.V 4.N.C 4.E.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	192	k ɛ n ə n
325	Danish	know (V)	45	kɛnə	k ɛ n ə	71	1 7 4 7	AXBZ	KENE	1	1.K.C 1.E.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	0	192	k ɛ n ə -
326	Swedish	know (V)	45	veta	v e t a	70	3 7 1 7	AXBZ	BETA	7	7.B.C 7.E.V 7.T.C 7.A.V	2.0 1.5 1.75 0.8	0	186	v e t a
327	Dutch	know (V)	45	kɛnə	k ɛ n ə	71	1 7 4 7	AXBZ	KENE	2	2.K.C 2.E.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	0	192	k ɛ n ə -
328	Norwegian	know (V)	45	çenə	ç e n ə	71	0 7 4 7	AXBZ	0ENE	6	6.0.C 6.E.V 6.N.C 6.E.V	2.0 1.5 1.75 0.8	0	192	ç e n ə -
#
329	German	leaf	46	blat	b l a t	72	1 5 7 1	ACXN	PLAT	4	4.P.C 4.L.C 4.A.V 4.T.c	2.0 1.5 1.5 0.8	0	193	b l a t
330	English	leaf	46	liːf	l iː f	73	5 7 3	AXN	LIB	3	3.L.C 3.I.V 3.B.c	2.0 1.5 0.8	0	195	l iː f
331	Danish	leaf	46	blað	b l a ð	72	1 5 7 3	ACXN	PLAD	1	1.P.C 1.L.C 1.A.V 1.D.c	2.0 1.5 1.5 0.8	0	193	b l a ð
332	Swedish	leaf	46	blad	b l a d	72	1 5 7 1	ACXN	PLAT	7	7.P.C 7.L.C 7.A.V 7.T.c	2.0 1.5 1.5 0.8	0	193	b l a d
333	Icelandic	leaf	46	plaːð	p l aː ð	72	1 5 7 3	ACXN	PLAD	5	5.P.C 5.L.C 5.A.V 5.D.c	2.0 1.5 1.5 0.8	0	193	p l aː ð
334	Dutch	leaf	46	blɑt	b l ɑ t	72	1 5 7 1	ACXN	PLAT	2	2.P.C 2.L.C 2.A.V 2.T.c	2.0 1.5 1.5 0.8	0	193	b l ɑ t
335	Norwegian	leaf	46	blɑː	b l ɑː	-72	1 5 7	ACX	PLA	6	6.P.C 6.L.C 6.A.V	2.0 1.5 1.5	0	193	b l ɑː -
336	Swedish	leaf	46	blad	b l a d	72	1 5 7 1	ACXN	PLAT	7	7.P.C 7.L.C 7.A.V 7.T.c	2.0 1.5 1.5 0.8	1	193	b l a d
337	Icelandic	leaf	46	løyːv	l øyː v	73	5 7 3	AXN	LUB	5	5.L.C 5.U.V 5.B.c	2.0 1.5 0.8	0	195	l øyː v
338	Norwegian	leaf	46	løːʋ	l øː ʋ	73	5 7 6	AXN	LUW	6	6.L.C 6.U.V 6.W.c	2.0 1.5 0.8	0	195	l øː ʋ
#
339	German	lie (V)	47	liːɡən	l iː ɡ ə n	74	5 7 1 7 4	AXBYN	LIKEN	4	4.L.C 4.I.V 4.K.C 4.E.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	196	l iː ɡ ə n
340	English	lie (V)	47	laɪ	l aɪ	74	5 7	AX	LA	3	3.L.C 3.A.V	2.0 1.5	0	198	l aɪ
341	Danish	lie (V)	47	legə	l e g ə	74	5 7 1 7	AXBZ	LEKE	1	1.L.C 1.E.V 1.K.C 1.E.V	2.0 1.5 1.75 0.8	0	196	l e g ə -
342	Swedish	lie (V)	47	ligːa	l i gː a	74	5 7 1 7	AXBZ	LIKA	7	7.L.C 7.I.V 7.K.C 7.A.V	2.0 1.5 1.75 0.8	0	196	l i gː a -
343	Icelandic	lie (V)	47	lɪcːa	l ɪ cː a	74	5 7 1 7	AXBZ	LICA	5	5.L.C 5.I.V 5.C.C 5.A.V	2.0 1.5 1.75 0.8	0	196	l ɪ cː a -
344	Dutch	lie (V)	47	lɪɣə	l ɪ ɣ ə	74	5 7 3 7	AXBZ	LIGE	2	2.L.C 2.I.V 2.G.C 2.E.V	2.0 1.5 1.75 0.8	0	196	l ɪ ɣ ə -
345	Norwegian	lie (V)	47	ligə	l i g ə	74	5 7 1 7	AXBZ	LIKE	6	6.L.C 6.I.V 6.K.C 6.E.V	2.0 1.5 1.75 0.8	0	196	l i g ə -
#
346	German	liver	48	leːbər	l eː b ə r	75	5 7 1 7 5	AXBYN	LEPER	4	4.L.C 4.E.V 4.P.C 4.E.V 4.R.c	2.0 1.5 1.75 1.3 0.8	0	199	l eː b ə r
347	English	liver	48	lɪvər	l ɪ v ə r	75	5 7 3 7 5	AXBYN	LIBER	3	3.L.C 3.I.V 3.B.C 3.E.V 3.R.c	2.0 1.5 1.75 1.3 0.8	0	199	l ɪ v ə r
348	Danish	liver	48	lewˀʌ	l e wˀ ʌ	75	5 7 6 7	AXBZ	LEWE	1	1.L.C 1.E.V 1.W.C 1.E.V	2.0 1.5 1.75 0.8	0	199	l e wˀ ʌ -
349	Swedish	liver	48	leːver	l eː v e r	75	5 7 3 7 5	AXBYN	LEBER	7	7.L.C 7.E.V 7.B.C 7.E.V 7.R.c	2.0 1.5 1.75 1.3 0.8	0	199	l eː v e r
350	Icelandic	liver	48	lɪːvʏr	l ɪː v ʏ r	75	5 7 3 7 5	AXBYN	LIBYR	5	5.L.C 5.I.V 5.B.C 5.Y.V 5.R.c	2.0 1.5 1.75 1.3 0.8	0	199	l ɪː v ʏ r
351	Dutch	liver	48	leːvər	l eː v ə r	75	5 7 3 7 5	AXBYN	LEBER	2	2.L.C 2.E.V 2.B.C 2.E.V 2.R.c	2.0 1.5 1.75 1.3 0.8	0	199	l eː v ə r
352	Norwegian	liver	48	leʋəɾ	l e ʋ ə ɾ	-75	5 7 6 7 5	AXBYN	LEWER	6	6.L.C 6.E.V 6.W.C 6.E.V 6.R.c	2.0 1.5 1.75 1.3 0.8	0	199	l e ʋ ə ɾ
#
353	German	long	49	laŋ	l a ŋ	76	5 7 4	AXN	LAN	4	4.L.C 4.A.V 4.N.c	2.0 1.5 0.8	0	200	l a ŋ
354	English	long	49	lɔŋ	l ɔ ŋ	76	5 7 4	AXN	LUN	3	3.L.C 3.U.V 3.N.c	2.0 1.5 0.8	0	200	l ɔ ŋ
355	Danish	long	49	lɑŋˀ	l ɑ ŋˀ	76	5 7 4	AXN	LAN	1	1.L.C 1.A.V 1.N.c	2.0 1.5 0.8	0	200	l ɑ ŋˀ
356	Swedish	long	49	loŋː	l o ŋː	76	5 7 4	AXN	LUN	7	7.L.C 7.U.V 7.N.c	2.0 1.5 0.8	0	200	l o ŋː
357	Icelandic	long	49	laŋkʏr	l a ŋ k ʏ r	76	5 7 4 1 7 5	AXMBYN	LANKYR	5	5.L.C 5.A.V 5.N.c 5.K.C 5.Y.V 5.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	204	l a ŋ k ʏ r
358	Dutch	long	49	lɑŋ	l ɑ ŋ	76	5 7 4	AXN	LAN	2	2.L.C 2.A.V 2.N.c	2.0 1.5 0.8	0	200	l ɑ ŋ
359	Norwegian	long	49	lɑŋ	l ɑ ŋ	76	5 7 4	AXN	LAN	6	6.L.C 6.A.V 6.N.c	2.0 1.5 0.8	0	200	l ɑ ŋ
#
360	German	louse	50	laus	l au s	77	5 7 3	AXN	LAS	4	4.L.C 4.A.V 4.S.c	2.0 1.5 0.8	0	205	l au s
361	English	louse	50	laʊs	l aʊ s	77	5 7 3	AXN	LAS	3	3.L.C 3.A.V 3.S.c	2.0 1.5 0.8	0	205	l aʊ s
362	Danish	louse	50	luˀs	l uˀ s	77	5 7 3	AXN	LYS	1	1.L.C 1.Y.V 1.S.c	2.0 1.5 0.8	0	205	l uˀ s
363	Swedish	louse	50	luːs	l uː s	77	5 7 3	AXN	LYS	7	7.L.C 7.Y.V 7.S.c	2.0 1.5 0.8	0	205	l uː s
364	Icelandic	louse	50	luːs	l uː s	77	5 7 3	AXN	LYS	5	5.L.C 5.Y.V 5.S.c	2.0 1.5 0.8	0	205	l uː s
365	Dutch	louse	50	lœys	l œy s	77	5 7 3	AXN	LUS	2	2.L.C 2.U.V 2.S.c	2.0 1.5 0.8	0	205	l œy s
366	Norwegian	louse	50	lʉːs	l ʉː s	77	5 7 3	AXN	LYS	6	6.L.C 6.Y.V 6.S.c	2.0 1.5 0.8	0	205	l ʉː s
#
367	German	man	51	man	m a n	78	4 7 4	AXN	MAN	4	4.M.C 4.A.V 4.N.c	2.0 1.5 0.8	0	206	m a n
368	English	man	51	mæn	m æ n	78	4 7 4	AXN	MEN	3	3.M.C 3.E.V 3.N.c	2.0 1.5 0.8	0	206	m æ n
369	Danish	man	51	manˀ	m a nˀ	78	4 7 4	AXN	MAN	1	1.M.C 1.A.V 1.N.c	2.0 1.5 0.8	0	206	m a nˀ
370	Swedish	man	51	manː	m a nː	78	4 7 4	AXN	MAN	7	7.M.C 7.A.V 7.N.c	2.0 1.5 0.8	0	206	m a nː
371	Icelandic	man	51	maːðʏr	m aː ð ʏ r	78	4 7 3 7 5	AXBYN	MADYR	5	5.M.C 5.A.V 5.D.C 5.Y.V 5.R.c	2.0 1.5 1.75 1.3 0.8	0	210	m aː ð ʏ r
372	Dutch	man	51	mɑn	m ɑ n	78	4 7 4	AXN	MAN	2	2.M.C 2.A.V 2.N.c	2.0 1.5 0.8	0	206	m ɑ n
373	Norwegian	man	51	mɑn	m ɑ n	78	4 7 4	AXN	MAN	6	6.M.C 6.A.V 6.N.c	2.0 1.5 0.8	0	206	m ɑ n
#
374	German	many	52	fiːl	f iː l	81	3 7 5	AXN	BIL	4	4.B.C 4.I.V 4.L.c	2.0 1.5 0.8	0	212	f iː l
375	English	many	52	mɛnɪ	m ɛ n ɪ	79	4 7 4 7	AXBZ	MENI	3	3.M.C 3.E.V 3.N.C 3.I.V	2.0 1.5 1.75 0.8	0	211	m ɛ n ɪ -
376	Danish	many	52	mɑŋən	m ɑ ŋ ə n	79	4 7 4 7 4	AXBYN	MANEN	1	1.M.C 1.A.V 1.N.C 1.E.V 1.N.c	2.0 1.5 1.75 1.3 0.8	0	211	m ɑ ŋ ə n
377	Swedish	many	52	mʏkɛt	m ʏ k ɛ t	80	4 7 1 7 1	AXBYN	MYKET	7	7.M.C 7.Y.V 7.K.C 7.E.V 7.T.c	2.0 1.5 1.75 1.3 0.8	0	215	m ʏ k ɛ t
378	Icelandic	many	52	mɪːcɪð	m ɪː c ɪ ð	80	4 7 1 7 3	AXBYN	MICID	5	5.M.C 5.I.V 5.C.C 5.I.V 5.D.c	2.0 1.5 1.75 1.3 0.8	0	215	m ɪː c ɪ ð
379	Dutch	many	52	veːl	v eː l	81	3 7 5	AXN	BEL	2	2.B.C 2.E.V 2.L.c	2.0 1.5 0.8	0	212	v eː l
380	Norwegian	many	52	mɑŋə	m ɑ ŋ ə	79	4 7 4 7	AXBZ	MANE	6	6.M.C 6.A.V 6.N.C 6.E.V	2.0 1.5 1.75 0.8	0	211	m ɑ ŋ ə -
381	English	many	52	mʌʧ	m ʌ ʧ	80	4 7 2	AXN	MEC	3	3.M.C 3.E.V 3.C.c	2.0 1.5 0.8	0	218	m ʌ ʧ
382	Swedish	many	52	moŋːa	m o ŋː a	79	4 7 4 7	AXBZ	MUNA	7	7.M.C 7.U.V 7.N.C 7.A.V	2.0 1.5 1.75 0.8	0	211	m o ŋː a -
383	Norwegian	many	52	meːgət	m eː g ə t	80	4 7 1 7 1	AXBYN	MEKET	6	6.M.C 6.E.V 6.K.C 6.E.V 6.T.c	2.0 1.5 1.75 1.3 0.8	0	215	m eː g ə t
#
384	German	meat	53	flaiʃ	f l ai ʃ	82	3 5 7 3	ACXN	BLAS	4	4.B.C 4.L.C 4.A.V 4.S.c	2.0 1.5 1.5 0.8	0	220	f l ai ʃ
385	English	meat	53	miːt	m iː t	84	4 7 1	AXN	MIT	3	3.M.C 3.I.V 3.T.c	2.0 1.5 0.8	0	221	m iː t
386	Danish	meat	53	køð	k ø ð	83	1 7 3	AXN	KUD	1	1.K.C 1.U.V 1.D.c	2.0 1.5 0.8	0	219	k ø ð
387	Swedish	meat	53	ɕøtː	ɕ ø tː	83	3 7 1	AXN	SUT	7	7.S.C 7.U.V 7.T.c	2.0 1.5 0.8	0	224	ɕ ø tː
388	Icelandic	meat	53	kʰjœːt	kʰ j œː t	83	1 6 7 1	ACXN	KJUT	5	5.K.C 5.J.C 5.U.V 5.T.c	2.0 1.5 1.5 0.8	0	223	kʰ j œː t
389	Dutch	meat	53	vleːs	v l eː s	82	3 5 7 3	ACXN	BLES	2	2.B.C 2.L.C 2.E.V 2.S.c	2.0 1.5 1.5 0.8	0	220	v l eː s
390	Norwegian	meat	53	çœt	ç œ t	83	0 7 1	AXN	0UT	6	6.0.C 6.U.V 6.T.c	2.0 1.5 0.8	0	224	ç œ t
#
391	German	moon	54	moːnt	m oː n t	86	4 7 4 1	AXLN	MUNT	4	4.M.C 4.U.V 4.N.c 4.T.c	2.0 1.5 1.1 0.8	0	228	m oː n t
392	English	moon	54	muːn	m uː n	86	4 7 4	AXN	MYN	3	3.M.C 3.Y.V 3.N.c	2.0 1.5 0.8	0	225	m uː n -
393	Danish	moon	54	mɔːnə	m ɔː n ə	86	4 7 4 7	AXBZ	MUNE	1	1.M.C 1.U.V 1.N.C 1.E.V	2.0 1.5 1.75 0.8	0	225	m ɔː n ə
394	Swedish	moon	54	moːne	m oː n e	86	4 7 4 7	AXBZ	MUNE	7	7.M.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	0	225	m oː n e
395	Icelandic	moon	54	tʰuŋl	tʰ u ŋ l	85	1 7 4 5	AXBC	TYNL	5	5.T.C 5.Y.V 5.N.C 5.L.C	2.0 1.5 1.75 1.5	0	229	tʰ u ŋ l
396	Dutch	moon	54	maːn	m aː n	86	4 7 4	AXN	MAN	2	2.M.C 2.A.V 2.N.c	2.0 1.5 0.8	0	225	m aː n -
397	Norwegian	moon	54	mɑːnə	m ɑː n ə	86	4 7 4 7	AXBZ	MANE	6	6.M.C 6.A.V 6.N.C 6.E.V	2.0 1.5 1.75 0.8	0	225	m ɑː n ə
398	Icelandic	moon	54	mauːnɪ	m auː n ɪ	86	4 7 4 7	AXBZ	MANI	5	5.M.C 5.A.V 5.N.C 5.I.V	2.0 1.5 1.75 0.8	0	225	m auː n ɪ
#
399	German	mountain	55	bɛrk	b ɛ r k	87	1 7 5 1	AXLN	PERK	4	4.P.C 4.E.V 4.R.c 4.K.c	2.0 1.5 1.1 0.8	0	231	b ɛ r k
400	English	mountain	55	maʊntɪn	m aʊ n t ɪ n	-89	4 7 4 1 7 4	AXMBYN	MANTIN	3	3.M.C 3.A.V 3.N.c 3.T.C 3.I.V 3.N.c	2.0 1.5 1.1 1.75 1.3 0.8	0	232	m aʊ n t ɪ n
401	Danish	mountain	55	bjæʁˀw	b j æ ʁˀ w	87	1 6 7 5 6	ACXBC	PJERW	1	1.P.C 1.J.C 1.E.V 1.R.C 1.W.C	2.0 1.5 1.5 1.75 1.5	0	230	b j æ ʁˀ w
402	Swedish	mountain	55	bɛrːj	b ɛ rː j	87	1 7 5 6	AXBC	PERJ	7	7.P.C 7.E.V 7.R.C 7.J.C	2.0 1.5 1.75 1.5	0	236	b ɛ rː j
403	Icelandic	mountain	55	fjat͡l	f j a t͡l	88	3 6 7 1	ACXN	BJAT	5	5.B.C 5.J.C 5.A.V 5.T.c	2.0 1.5 1.5 0.8	0	234	f j a t͡l
404	Dutch	mountain	55	bɛrx	b ɛ r x	87	1 7 5 3	AXLN	PERG	2	2.P.C 2.E.V 2.R.c 2.G.c	2.0 1.5 1.1 0.8	0	231	b ɛ r x
405	Norwegian	mountain	55	fjel	f j e l	88	3 6 7 5	ACXN	BJEL	6	6.B.C 6.J.C 6.E.V 6.L.c	2.0 1.5 1.5 0.8	0	235	f j e l
406	Danish	mountain	55	fjɛlˀ	f j ɛ lˀ	88	3 6 7 5	ACXN	BJEL	1	1.B.C 1.J.C 1.E.V 1.L.c	2.0 1.5 1.5 0.8	0	235	f j ɛ lˀ
#
407	German	mouth	56	mʊnt	m ʊ n t	90	4 7 4 1	AXLN	MYNT	4	4.M.C 4.Y.V 4.N.c 4.T.c	2.0 1.5 1.1 0.8	0	237	m ʊ n t
408	English	mouth	56	maʊð	m aʊ ð	90	4 7 3	AXN	MAD	3	3.M.C 3.A.V 3.D.c	2.0 1.5 0.8	0	239	m aʊ ð
409	Danish	mouth	56	mɔnˀ	m ɔ nˀ	90	4 7 4	AXN	MUN	1	1.M.C 1.U.V 1.N.c	2.0 1.5 0.8	0	237	m ɔ nˀ -
410	Swedish	mouth	56	munː	m u nː	90	4 7 4	AXN	MYN	7	7.M.C 7.Y.V 7.N.c	2.0 1.5 0.8	0	237	m u nː -
411	Icelandic	mouth	56	mʏnːʏr	m ʏ nː ʏ r	90	4 7 4 7 5	AXBYN	MYNYR	5	5.M.C 5.Y.V 5.N.C 5.Y.V 5.R.c	2.0 1.5 1.75 1.3 0.8	0	241	m ʏ nː ʏ r
412	Dutch	mouth	56	mɔnt	m ɔ n t	90	4 7 4 1	AXLN	MUNT	2	2.M.C 2.U.V 2.N.c 2.T.c	2.0 1.5 1.1 0.8	0	237	m ɔ n t
